Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32
Config 3/10: hidden=256, lr=0.0003, wd=0.0001, batch=32

Training with: hidden=256, lr=0.0003, wd=0.0001, batch=32
Epoch 01 | train loss 0.4202, acc 80.16% | val loss 0.2917, acc 87.89%, F1 0.8967
Epoch 02 | train loss 0.2392, acc 90.36% | val loss 0.2425, acc 90.09%, F1 0.9106
Epoch 03 | train loss 0.1862, acc 92.36% | val loss 0.2229, acc 90.46%, F1 0.9182
Epoch 04 | train loss 0.1674, acc 93.14% | val loss 0.2106, acc 91.33%, F1 0.9234
Epoch 05 | train loss 0.1398, acc 94.60% | val loss 0.2034, acc 91.19%, F1 0.9235
Epoch 06 | train loss 0.1210, acc 95.31% | val loss 0.2020, acc 91.88%, F1 0.9296
Epoch 07 | train loss 0.1110, acc 95.62% | val loss 0.1927, acc 92.80%, F1 0.9354
Epoch 08 | train loss 0.1063, acc 95.89% | val loss 0.1950, acc 92.34%, F1 0.9305
Epoch 09 | train loss 0.0919, acc 96.45% | val loss 0.1866, acc 93.30%, F1 0.9419
Epoch 10 | train loss 0.0934, acc 96.22% | val loss 0.2163, acc 93.03%, F1 0.9368
Epoch 11 | train loss 0.0751, acc 97.19% | val loss 0.1927, acc 92.80%, F1 0.9347
Epoch 12 | train loss 0.0683, acc 97.39% | val loss 0.2011, acc 93.03%, F1 0.9397
Epoch 13 | train loss 0.0630, acc 97.75% | val loss 0.1907, acc 93.67%, F1 0.9440
Epoch 14 | train loss 0.0875, acc 96.89% | val loss 0.1704, acc 93.58%, F1 0.9431
Epoch 15 | train loss 0.0526, acc 98.14% | val loss 0.1791, acc 94.13%, F1 0.9486
Epoch 16 | train loss 0.0510, acc 98.11% | val loss 0.1722, acc 94.59%, F1 0.9528
Epoch 17 | train loss 0.0427, acc 98.52% | val loss 0.2462, acc 92.43%, F1 0.9326
Epoch 18 | train loss 0.0455, acc 98.34% | val loss 0.1941, acc 93.26%, F1 0.9410
Epoch 19 | train loss 0.0529, acc 98.10% | val loss 0.2279, acc 92.98%, F1 0.9385
Epoch 20 | train loss 0.0601, acc 97.82% | val loss 0.2276, acc 93.72%, F1 0.9450
Epoch 21 | train loss 0.0390, acc 98.56% | val loss 0.1839, acc 94.50%, F1 0.9508
Epoch 22 | train loss 0.0316, acc 98.89% | val loss 0.2163, acc 93.53%, F1 0.9442
Epoch 23 | train loss 0.0350, acc 98.84% | val loss 0.1842, acc 94.82%, F1 0.9543
Epoch 24 | train loss 0.0237, acc 99.44% | val loss 0.2034, acc 93.99%, F1 0.9474
Epoch 25 | train loss 0.0550, acc 98.12% | val loss 0.2315, acc 93.30%, F1 0.9416
Epoch 26 | train loss 0.0324, acc 98.81% | val loss 0.1953, acc 94.50%, F1 0.9522
Epoch 27 | train loss 0.0282, acc 99.11% | val loss 0.2770, acc 92.61%, F1 0.9335
Epoch 28 | train loss 0.0287, acc 99.14% | val loss 0.1848, acc 94.95%, F1 0.9552
Epoch 29 | train loss 0.0153, acc 99.62% | val loss 0.1855, acc 94.72%, F1 0.9534
Epoch 30 | train loss 0.0213, acc 99.44% | val loss 0.2233, acc 93.62%, F1 0.9428
Validation F1 for this config: 0.9552

############################################################
Config 4/10: hidden=256, lr=0.001, wd=0.001, batch=32

Training with: hidden=256, lr=0.001, wd=0.001, batch=32
Epoch 01 | train loss 0.4458, acc 80.51% | val loss 0.2796, acc 87.94%, F1 0.8923
Epoch 02 | train loss 0.2677, acc 88.73% | val loss 0.2271, acc 91.15%, F1 0.9214
Epoch 03 | train loss 0.2284, acc 90.47% | val loss 0.2878, acc 87.75%, F1 0.8959
Epoch 04 | train loss 0.1927, acc 92.31% | val loss 0.2333, acc 90.18%, F1 0.9131
Epoch 05 | train loss 0.1880, acc 92.37% | val loss 0.2122, acc 91.56%, F1 0.9252
Epoch 06 | train loss 0.1813, acc 92.68% | val loss 0.2242, acc 90.73%, F1 0.9175
Epoch 07 | train loss 0.1891, acc 92.37% | val loss 0.2246, acc 91.51%, F1 0.9256
Epoch 08 | train loss 0.1717, acc 93.07% | val loss 0.2151, acc 91.61%, F1 0.9253
Epoch 09 | train loss 0.1596, acc 93.41% | val loss 0.2262, acc 91.19%, F1 0.9234
Epoch 10 | train loss 0.1647, acc 93.44% | val loss 0.2354, acc 90.64%, F1 0.9168
Epoch 11 | train loss 0.1640, acc 93.49% | val loss 0.2153, acc 91.33%, F1 0.9238
Epoch 12 | train loss 0.1469, acc 94.11% | val loss 0.2406, acc 91.19%, F1 0.9208
Epoch 13 | train loss 0.1734, acc 93.06% | val loss 0.2914, acc 88.72%, F1 0.8934
Epoch 14 | train loss 0.1505, acc 93.95% | val loss 0.2636, acc 90.96%, F1 0.9192
Epoch 15 | train loss 0.1371, acc 94.74% | val loss 0.2753, acc 90.32%, F1 0.9127
Epoch 16 | train loss 0.1452, acc 94.29% | val loss 0.2553, acc 90.96%, F1 0.9210
Epoch 17 | train loss 0.1468, acc 94.05% | val loss 0.2961, acc 88.53%, F1 0.9046
Epoch 18 | train loss 0.1704, acc 93.59% | val loss 0.2176, acc 91.38%, F1 0.9230
Epoch 19 | train loss 0.1352, acc 94.84% | val loss 0.3145, acc 89.17%, F1 0.9087
Epoch 20 | train loss 0.1369, acc 94.53% | val loss 0.2267, acc 91.61%, F1 0.9256
Epoch 21 | train loss 0.1422, acc 94.29% | val loss 0.3025, acc 89.31%, F1 0.9026
Epoch 22 | train loss 0.1416, acc 94.24% | val loss 0.2117, acc 92.02%, F1 0.9299
Epoch 23 | train loss 0.1244, acc 94.93% | val loss 0.2673, acc 89.86%, F1 0.9086
Epoch 24 | train loss 0.1450, acc 94.23% | val loss 0.2581, acc 91.28%, F1 0.9223
Epoch 25 | train loss 0.1459, acc 94.30% | val loss 0.2164, acc 92.43%, F1 0.9337
Epoch 26 | train loss 0.1386, acc 94.71% | val loss 0.2413, acc 90.87%, F1 0.9180
Epoch 27 | train loss 0.1342, acc 94.73% | val loss 0.2367, acc 91.70%, F1 0.9261
Epoch 28 | train loss 0.1267, acc 95.10% | val loss 0.2584, acc 91.56%, F1 0.9257
Epoch 29 | train loss 0.1278, acc 94.89% | val loss 0.2544, acc 90.87%, F1 0.9193
Epoch 30 | train loss 0.1183, acc 95.21% | val loss 0.2428, acc 91.70%, F1 0.9285
Validation F1 for this config: 0.9337

############################################################
Config 5/10: hidden=512, lr=0.0003, wd=0.0001, batch=64

Training with: hidden=512, lr=0.0003, wd=0.0001, batch=64
Epoch 01 | train loss 0.3883, acc 82.26% | val loss 0.2838, acc 88.26%, F1 0.8923
Epoch 02 | train loss 0.2312, acc 90.49% | val loss 0.2403, acc 89.27%, F1 0.9056
Epoch 03 | train loss 0.1859, acc 92.35% | val loss 0.2210, acc 91.38%, F1 0.9209
Epoch 04 | train loss 0.1505, acc 94.09% | val loss 0.2032, acc 91.83%, F1 0.9269
Epoch 05 | train loss 0.1448, acc 94.34% | val loss 0.1896, acc 92.39%, F1 0.9324
Epoch 06 | train loss 0.1151, acc 95.39% | val loss 0.1867, acc 92.52%, F1 0.9347
Epoch 07 | train loss 0.1044, acc 95.88% | val loss 0.1827, acc 92.94%, F1 0.9384
Epoch 08 | train loss 0.1054, acc 95.93% | val loss 0.2071, acc 91.42%, F1 0.9272
